ID,ten,quoc_gia,kinh_do,vi_do,thoi_gian,nhiet_do,do_am,ap_suat,huong_gio,toc_do_gio
1581130,hanoi,VN,105.8412,21.0245,Mon Apr 11 22:47:12 2022,23.0,82,1008,150,3.75
1583992,danang,VN,108.2208,16.0678,Wed Apr 13 21:52:15 2022,25.99,89,1008,0,0.51
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:52:17 2022,11.34,50,1017,100,6.69
1581130,hanoi,VN,105.8412,21.0245,Wed Apr 13 21:52:24 2022,27.0,79,1007,155,4.22
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:52:27 2022,11.34,50,1017,100,6.69
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:52:34 2022,24.95,94,1007,130,1.54
1850144,tokyo,JP,139.6917,35.6895,Wed Apr 13 21:52:37 2022,20.45,81,1013,73,2.25
1581130,hanoi,VN,105.8412,21.0245,Wed Apr 13 21:52:44 2022,27.0,79,1007,155,4.22
1850144,tokyo,JP,139.6917,35.6895,Wed Apr 13 21:52:47 2022,20.45,81,1013,73,2.25
1580240,hue,VN,107.6,16.4667,Wed Apr 13 21:52:54 2022,26.06,83,1009,0,0.51
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:52:57 2022,11.34,50,1017,100,6.69
1583992,danang,VN,108.2208,16.0678,Wed Apr 13 21:53:04 2022,25.99,89,1008,0,0.51
2088122,pari,PG,147.2167,-9.5165,Wed Apr 13 21:53:07 2022,24.17,100,1008,0,1.54
1581130,hanoi,VN,105.8412,21.0245,Wed Apr 13 21:53:14 2022,27.0,79,1007,155,4.22
2643743,london,GB,-0.1257,51.5085,Wed Apr 13 21:53:17 2022,18.33,57,1016,230,5.14
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:53:24 2022,24.95,94,1007,130,1.54
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:53:27 2022,11.34,50,1017,100,6.69
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:53:34 2022,24.95,94,1007,130,1.54
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:53:37 2022,11.34,50,1017,100,6.69
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:53:44 2022,24.95,94,1007,130,1.54
1835848,seoul,KR,126.9778,37.5683,Wed Apr 13 21:53:47 2022,11.34,50,1017,100,6.69
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:53:54 2022,24.95,94,1007,130,1.54
2088122,pari,PG,147.2167,-9.5165,Wed Apr 13 21:53:57 2022,24.17,100,1008,0,1.54
1581298,haiphong,VN,106.6822,20.8561,Wed Apr 13 21:54:04 2022,24.95,94,1007,130,1.54
1850144,tokyo,JP,139.6917,35.6895,Wed Apr 13 21:54:07 2022,20.45,81,1013,73,2.25
